id,name,phone,address,notes,opening_balance,active,old_id,old_code
93ead9a8-1565-7895-eba8-1a3572957f4c,شركة الخيول الذهبية,0917111995,,FRS408 | old_id=310000200,0,t,310000200,FRS408
b3c3c120-ea64-9a00-f068-5896d8f5926d,برستيج لإستيراد المواد الصحية,,,FRS066 | old_id=210000127,0,t,210000127,FRS066
41cf3726-7c18-801f-29b4-95bfba464df9,مسوق سفيان بن فايد,0945337371,,FRS409 | old_id=310000201,0,t,310000201,FRS409
51882a69-3ac9-cde2-37e3-64e2b7daae96,مجموعة الشريف,,,FRS077 | old_id=210000138,0,t,210000138,FRS077
f9f6d83d-5b9d-2d22-c42a-21b487031fad,شركة الركن الجديد,,,FRS070 | old_id=210000131,0,t,210000131,FRS070
7e4b3fc3-8241-ee4f-683f-bfe58ba55739,شعنان مواد بناء,,,FRS029 | old_id=310000136,0,t,310000136,FRS029
156403ef-fd81-bf9e-05af-5a4f8dcde75e,شركة فجر الدولية لمواد الصحية و الاكسسوارات و تشطيب,0942000992,,FRS406 | old_id=310000198,0,t,310000198,FRS406
c0faf038-b788-4ed3-15e1-cb4edf3f56f1,مجموعة النجار لاستراد مواد البناء,0913765454,,FRS028 | old_id=310000135,0,t,310000135,FRS028
65debbbf-d158-9217-a5df-94070e87c4d1,مخزن الزناد,,,FRS887 | old_id=310000132,0,t,310000132,FRS887
fb599d54-8fbe-2649-11aa-9640573a2468,عبد المنعم ركن التشطيب,,,FRS025 | old_id=310000130,0,t,310000130,FRS025
8d388eaa-de46-d772-319c-750398f43c28,شركة راما 11يونيو,0912736844,,FRS0011 | old_id=310000181,0,t,310000181,FRS0011
1054307a-87a0-d4d2-fe16-bd905fe6a04b,الشيباني لمواد البناء و المواد الصحية,,,م056 | old_id=310000116,0,t,310000116,م056
95a6cd40-9663-6e5a-2d2b-82c8a97852fc,الأروقة الليبية,,,FRS225 | old_id=310000131,0,t,310000131,FRS225
56855bde-1190-92a2-afb0-419a9650977f,South Villa,,,FRS072 | old_id=210000133,0,t,210000133,FRS072
193a3d2d-d39f-6712-72cb-c5f247087645,مجموعة بن عمر BEN AMOR Group,,,FRS065 | old_id=210000126,0,t,210000126,FRS065
4db58ef5-0e02-ae07-fc14-5629c40b7689,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),,,FRS067 | old_id=210000128,0,t,210000128,FRS067
f592fa51-d431-40c9-f38d-39cdf4092eb2,شركة اعمار الجديد,,,FRS074 | old_id=210000135,0,t,210000135,FRS074
5bd59cc2-f915-90b2-5eb0-3ec705744a94,شركة آفاق المتحدة لإستيراد مواد البناء,,,FRS058 | old_id=210000118,0,t,210000118,FRS058
3f8e1d44-c2e4-cecd-ff29-48dc418eba21,شركة أجياد ليبيا,,,FRS057 | old_id=210000117,0,t,210000117,FRS057
eef1f192-19d8-3e65-afd7-cdc3b12037eb,LONDA,,,FRS407 | old_id=310000199,0,t,310000199,FRS407
3ef761c8-d645-a9c8-47dc-960089e79b35,شركة الصداقة,,,FRS073 | old_id=210000134,0,t,210000134,FRS073
b907b80a-1272-6c41-14b7-dc0946e8d72a,عادل مسوق لصقة وسنفرة,0913755114,,FRS0021 | old_id=210000146,0,t,210000146,FRS0021
fd059421-15b9-e743-662a-d6c4e83bb171,مصنع أوركا,,,FRS082 | old_id=210000143,0,t,210000143,FRS082
3ffac156-d4e1-bdf9-fa6f-f23c928fa7ed,شركةأصداء التقنية لإستيراد الأدوات المكتبية و أجهزة الحاسب الآلي,,,FRS081 | old_id=210000142,0,t,210000142,FRS081
ff3ad10c-136f-2eb9-510b-510058532e8d,نوكسي تركيا,,,FRS088 | old_id=310000124,0,t,310000124,FRS088
96788f75-aca7-6778-39d6-9ded903609dd,شركة الثريا لمستلزمات الرخام والسراميك,,,FRS042 | old_id=210000152,0,t,210000152,FRS042
a93105ca-29b4-361f-614d-22e405827e8c,شركة المرابط,,,FRS006 | old_id=310000121,0,t,310000121,FRS006
04237243-dd5f-7582-ba66-b76abde0fd74,شركة جمال مسوق خلاطات,,,FRS005 | old_id=310000120,0,t,310000120,FRS005
97a5219b-1b5e-6889-0ed3-e1ade17254d5,دهانات البحر المتوسط فرع طرابلس,0913047495,,FRS0563 | old_id=310000138,0,t,310000138,FRS0563
64b9e43c-5e5d-3fa7-c325-44e0007df5fc,شركة أصول,,,FRS085 | old_id=310000125,0,t,310000125,FRS085
56bb7a00-a11f-f662-0a64-274fa3bfa164,شركة M.D.N,0915374058,,FRS4003 | old_id=310000197,0,t,310000197,FRS4003
b79e7abc-51e1-263e-7d9c-8207fbd25aaf,مسوق أكسسوارات الزاوية,,,FRS020 | old_id=310000123,0,t,310000123,FRS020
7bde2e9a-267b-c89e-0807-be8b711c03cd,شركة البرستيج لإستيراد المواد الصحية,,,FRS080 | old_id=210000141,0,t,210000141,FRS080
